id;supplier_code;supplier_name;address;group_kh_ncc;tax_code;phone_number;unfollow;created_date;key_uuid
1;AI;payment;digital Keyboard;Carolina THX encryption;Inverse Corporate Developer;Metal turquoise;false;2022-12-15;Compatible
2;Human;knowledge front-end;Sausages;Steel invoice web-readiness;Computers;Inverse Jordan;false;2022-12-15;Ergonomic Nhật Loan
3;Refined Shoes parsing;Florida input;Planner;Generic Granite;port Creative;Virginia Direct monetize;false;2022-12-15;radical Fantastic
4;Garden Venezuela Sleek;compressing;Belarus monitor;generating;Iraq Lan Rubber;Developer Grocery;false;2022-12-15;frictionless pixel
5;lavender monitor;interface Regional Bike;calculating Lira Ball;calculating mission-critical Mouse;Mississippi;Designer Customer-focused;false;2022-12-15;Incredible help-desk
6;Florida;turquoise Wooden Adaptive;Beauty GB Networked;repurpose Data;Illinois Soft Profound;overriding index;false;2022-12-15;toolset Customer
7;portal Leone;Books out-of-the-box card;pink Communications plum;Designer bypass connect;Loan;hard synthesize Tactics;false;2022-12-15;Synchronised Forges SSL
8;Toys collaborative Shilling;Swiss Integration;Soap program eyeballs;Iraqi Vermont calculating;Burg zero;orchestrate infomediaries;false;2022-12-15;Jersey input
9;Licensed withdrawal eyeballs;Market hybrid;Licensed;infomediaries lime;Ergonomic;Cotton;true;2022-12-15;invoice
10;Borders;redefine blue;Supervisor District;reciprocal Camp Ameliorated;virtual Forward;Regional Mills;false;2022-12-15;Avon Decentralized Versatile
