id;code;name;nature;group_vthh;describe;explain_buy;explain_sell;main_dvt;warranty_period;quantity_inventory;source;implicitly_repository;warehouse_account;expense_account;income_account;discount_account;sale_account;return_account;rate_ckmh;fixed_purchase_price;latest_purchase_price;unit_price_sell_1;unit_price_sell_2;unit_price_sell_3;fixed_unit_price;unit_price_after_tax;tax_rate_gtgt;tax_rate_nk;tax_rate_xk;group_hhdv_taxable_ttdb;unfollow;inventory_number;characteristic;inventory_value;follow;discount;from_amount;to_amount;percent_discount;discount_amount;conversion_unit;primary_unit_conversion_rate;calculation;describe_1;unit_price_1;unit_price_2;unit_price_3;fixed_unit_price_1;material_code;material_name;dvt;amount;specification_code;display_name;allow_same;created_date;key_uuid
1;JBOD Track Refined;Mouse adapter Chief;UIC-Franc Việt black;olive online Tuna;digital;Savings;Investor compressing monetize;New;parallelism;53938;solution-oriented Leone SCSI;Mobility Fish Books;Executive SCSI Intelligent;synthesize National;Sleek applications Peru;Convertible deposit;target Borders portals;reboot Mexico ADP;69483;46859;68359;39673;69201;97150;42419;54041;lavender;31172;58871;Small quantify;68200;78098;web-readiness Senior;86661;46963;18700;out-of-the-box;Sports deposit;77828;64913;dynamic Bedfordshire;80420;Response Data;Markets Assurance;44630;18109;11507;71131;multi-byte;olive;withdrawal Infrastructure;infomediaries;Pizza;Keyboard;cross-platform Investor invoice;2022-12-15;Practical virtual
2;bandwidth;District Philippines;digital;Lead;Wyoming Decentralized invoice;Krone;Account;Tactics;Synergized transmit;64962;programming;withdrawal Group;Operations EXE Metal;Direct;Unbranded;networks hub leading-edge;Executive Car;up;43179;49148;64929;12297;44959;68350;3612;47426;Kuwait global parse;10923;50002;Games Egyptian cross-platform;7138;24708;Steel;61043;73520;81831;rich Agent;virtual;84746;25786;Dynamic Vision-oriented generating;51276;flexibility Handcrafted Mexican;scale Place Customer-focused;80041;75810;32871;159;Innovative Uruguayo transmitter;Forward;Compatible Incredible;encryption Innovative;bluetooth Auto Cheese;client-driven;Enterprise-wide Specialist;2022-12-15;Illinois parallelism FTP
3;Metal asymmetric Kwanza;bleeding-edge Tools leverage;incubate architectures hardware;Polarised;Landing International Fundamental;Implementation Global;Seamless;Administrator impactful;architecture;51684;indigo;Checking;Health Electronics Avon;attitude-oriented Extended;Loan Vermont Investor;integrated;reboot;Principal synthesizing regional;41597;45121;31557;40278;90799;87519;36029;94395;Soft compressing;79167;50572;infomediaries state integrated;27875;88259;zero cross-platform;76786;5678;72379;hack quantifying quantifying;indexing structure;41;93706;Future Cambridgeshire;66730;Berkshire;Iraq Accountability Dynamic;3805;70087;7324;771;navigating client-driven;Idaho payment;focus interface deposit;Arkansas Utah;facilitate;lime;Orchard payment Hawaii;2022-12-16;digital calculate
4;SDR;auxiliary Tasty distributed;superstructure Avon tertiary;Customer;secondary navigating;Plaza Shoes;Rupee invoice;Kentucky;Cambridgeshire Exclusive;92462;Rican action-items bandwidth;Refined;Berkshire Texas;transmit;hardware;Concrete withdrawal;Director deploy;Wooden Avon Ukraina;15;467;69533;33793;54955;12363;84984;95484;program;33387;67207;Fresh;84695;64997;input exuding Coordinator;38940;65735;37449;reinvent payment;Health Beauty pink;2210;75801;Dakota Games;77129;Dynamic superstructure Re-engineered;Solutions;70659;38669;79347;27852;open-source digital;Coordinator;Verde;Ariary;Oregon;SMTP;Clothing;2022-12-16;Quốc
5;up;Gorgeous Ball;Corporate Avon Ergonomic;Ball;Dollar Tasty Account;collaborative Loan collaboration;Cambridgeshire;projection SDD online;Exclusive Self-enabling Soap;14991;North;neural Account;Track;Nepal;unleash Dollar green;Interactions Home Arkansas;Berkshire enable;Team-oriented Avon transmit;19410;27761;37130;76036;16348;15002;28768;86814;Buckinghamshire;82928;60822;Intelligent Ergonomic;55278;63992;Cheese markets Data;62647;45520;553;PNG;Curve eyeballs;89375;80346;Bike Granite;87990;Monitored Unbranded;Wyoming deliverables;64815;50704;8627;38360;transmitting;protocol IB;Account architect Coordinator;Awesome RAM Malta;Sterling Borders;program;Account Kids;2022-12-15;yellow background
6;GB;Orchestrator Terrace;facilitate;e-business International circuit;circuit schemas;services syndicate;modular Re-contextualized;quantify Cambridgeshire;Jewelery Krone;93665;invoice;asymmetric Bedfordshire Trail;Strategist Money Beauty;Tây Home transmit;auxiliary;Engineer Cotton ivory;systems;Assurance Dollar Savings;42466;73935;30666;54871;54074;90677;58304;12201;Generic Branding;7082;81337;Qatari Dollar Tunisian;94737;28589;Denar;17478;53105;14985;Corporate clear-thinking Rubber;empowering Guyana;79447;62233;back-end Soap;4582;Keyboard Engineer;Garden;75797;69673;81366;62830;Buckinghamshire Planner;Handmade Berkshire;extranet;Radial Handmade;withdrawal Web;Account system-worthy;South Fantastic Vermont;2022-12-15;Bike
7;black Awesome;program;Flat;Triều wireless Cotton;Lev reciprocal;Automotive;Intelligent SSL;redundant whiteboard;Intelligent Ergonomic parse;34551;supply-chains Radial;Gloves nhất;Beauty Plastic và;Berkshire Handcrafted Human;Account Handmade Senior;deposit;quantify navigating system;IB;19216;87156;26273;52458;93154;77075;97650;39478;Salad reboot;66068;54557;mobile;94307;14159;index;37460;45355;52328;magenta Glens Agent;hard;11273;75828;IB world-class compress;72026;extend;ivory sensor Ergonomic;80240;55808;35857;49619;Nha Avon;Checking;Bedfordshire quantifying Honduras;redundant calculating;Course multimedia;Future-proofed optical Fundamental;index Security Trace;2022-12-16;Buckinghamshire Operations
8;Account array;Drive Jersey;enhance;navigating Armenian Mobility;Industrial;Market;mindshare Direct maroon;connect proactive silver;Car hacking;3005;Úc Tasty 1080p;Bike Architect;transmitting payment;maximize Global;Kansas deposit;Human Interactions;Automotive Baby;California;23575;39335;30651;72426;48851;32850;73234;75332;foreground synergistic;4153;29444;Applications Refined Fantastic;45344;88220;transparent;84381;32012;34738;Pennsylvania;Metal;36926;51012;Uruguayo;44407;Rue;Kids connect Direct;90889;89541;76520;61563;facilitate payment withdrawal;Bedfordshire Account interactive;Avon Rubber;Bacon frame National;navigating Soft;embrace;synthesizing index markets;2022-12-15;International Global Account
9;Peso Dinar;Canyon online;Lari generation;Supervisor Sleek;open-source Account;Rustic Pants;Usability;Books;focus Optimization convergence;9356;XML;Supervisor;Ergonomic circuit;disintermediate;Soap;Small;Bangladesh Ball Metal;holistic;13025;38669;52249;49962;53100;2777;42979;39940;Montana payment;93739;9867;Keyboard AGP;27728;45270;Valleys even-keeled Human;44123;79969;45467;Chips Intranet;SQL Ergonomic haptic;17547;12554;calculating;47582;Polarised;content Bedfordshire Officer;88548;96357;22891;52792;Avon bi-directional;User Vista;Grenada blue Salad;Plaza;turquoise Georgia;Glens;Car Buckinghamshire Cambridgeshire;2022-12-15;Gloves JSON
10;service-desk Ergonomic;Bacon Garden;Handmade Personal;Interactions;Vista Frozen Dollar;Jewelery optimal e-commerce;global Refined;Forward Pennsylvania;Concrete USB Money;21477;Optimized intermediate;Cape Texas supply-chains;up;Adaptive standardization;Ohio generate Buckinghamshire;Kids Awesome;e-commerce;Diverse;90547;74151;13035;97094;52592;43625;67262;97245;transparent portals;14916;68469;AGP Bedfordshire Awesome;51294;43103;Fish Kwacha;43024;22867;51753;Central synthesizing;Investor Electronics;97031;42793;Table;15428;real-time;override Loan;52444;42686;80985;74148;panel;California utilize optical;Persistent Soft;Mạch;Practical Avon Developer;Planner Kansas;Franc;2022-12-15;Tasty
