id;voucher_type;voucher_type_no;voucher_no;voucher_date;accounting_date;invoice_no;invoice_date;debit_account;credit_account;currency_type;currency;material_good_code;material_good_name;storage_in;storage_out;caculation_unit;amount;price;tranfer_rate;money_tranfer;fixed_assets_type;fixed_assets_code;tools_code;debit_object;credit_object;unit;employee;bank_account;item_cost;construction;cost_set;purchase_order;buy_order;purchase_contract;sale_contract;stats_code;explanation;explanation_detail;record_status;created_date;key_uuid
1;bandwidth-monitored;9790;Nauru navigate;2022-12-15;2022-12-15;up Account Iowa;2022-12-15;distributed ADP;Ergonomic;Outdoors needs-based;44370;mobile Ergonomic;Shirt;SQL Awesome;Avon back optimize;withdrawal access Chips;23222;43791;6239;54345;Swaziland;Games;Kuwait generation maximized;Small maroon Savings;USB Naira Lead;invoice AGP Fantastic;Sleek Montana;open-source;Account;Cheese HTTP;Customer;turquoise Front-line;program XML;calculate Profit-focused Montana;circuit;red Dollar Spurs;generating Buckinghamshire Leu;enhance Account;Loan;2022-12-15;white protocol
2;International;72319;Berkshire Computers bandwidth-monitored;2022-12-15;2022-12-15;COM Small;2022-12-15;Corporate Berkshire;Grocery Hungary;enable back-end feed;67543;Card system reboot;aggregate withdrawal unleash;Cabo;Legacy;multi-byte Cheese programming;82802;12404;83985;41841;Intranet Bedfordshire payment;Soap Intranet Movies;embrace alliance Hat;Account;invoice;leading HDD;Summit;Gabon Specialist;Regional bluetooth;bus Buckinghamshire Cotton;Islands Vương;Money;end-to-end;service-desk Global;Rubber;calculate Mauritius;Account synthesize;multimedia;connecting;2022-12-15;GB XML Intranet
3;Automotive calculate ADP;94337;heuristic wireless Shirt;2022-12-15;2022-12-15;background Buckinghamshire;2022-12-15;Strategist quantify;Graphical encoding capacity;quantifying Loan New;66369;Virginia Digitized user-centric;Assistant;synthesizing Fish leverage;indexing Pizza Sleek;FTP;87214;3795;20626;53880;synthesizing Buckinghamshire;Franc Serbian;hack Intuitive;withdrawal Down-sized;Brand;Consultant Cambridgeshire Frozen;digital connecting;utilisation embrace synergistic;calculate non-volatile Cotton;Progressive;paradigms schemas Jordan;haptic Chair Jordan;New;Cotton;compelling;Auto;Shoes;Refined;Internal;2022-12-15;convergence logistical El
4;turquoise;7357;SMTP;2022-12-15;2022-12-15;payment incremental;2022-12-15;payment Keyboard attitude-oriented;productivity Handcrafted Technician;e-business salmon;37285;Consultant Latvia TCP;Cambridgeshire Crossing;Music;Borders Rustic Rhode;Ergonomic;25943;57753;37614;26845;Berkshire;target Sleek Regional;Soap Investment;Future-proofed;leading-edge Accountability;Colorado;Electronics Borders Loan;Roads multi-byte;connecting Producer Cotton;interface SDD;Comoro synthesize Liaison;functionalities;emulation;Programmable;Fully-configurable Peru hacking;Drives;Virtual system;overriding;mint;2022-12-15;Handmade Facilitator
5;Mozambique tan;47990;Pants và invoice;2022-12-15;2022-12-15;violet Principal Handmade;2022-12-15;cross-platform array;disintermediate;Legacy;50464;programming;Savings syndicate front-end;Baby Account;solution Shilling Account;Bahamian;17820;30928;75794;9035;alarm;open-source;synthesizing Tuna Nam;magenta National;Developer;circuit Assurance functionalities;Garden Home;Extension;Integrated;Intelligent Mouse;robust;cross-platform initiative transmitter;Progressive;Cotton;hacking bypassing Zambian;Fresh Fresh;Forward;Berkshire e-commerce Interactions;Chicken Direct;2022-12-15;hybrid Denar
6;invoice;89367;invoice Developer;2022-12-15;2022-12-15;compress XSS 24/365;2022-12-15;calculating hack;Stream Associate Grass-roots;granular Loan Wooden;85635;port Customer;Generic;Luxembourg neural;Computer;Cotton embrace;61548;2814;56073;38080;Fresh Directives;Money;bus array calculating;red methodical quantifying;mobile Wisconsin time-frame;Salad Movies;redundant Mississippi Bedfordshire;incubate Loan;Producer Brand;Reactive initiative Clothing;Customer Garden monetize;Internal implement interface;disintermediate;Bản;redefine Money Health;Incredible blue;24/365 sensor Mississippi;Towels;Mouse Syria Serbia;2022-12-15;Agent Intuitive
7;Chips;23598;Centralized parsing Refined;2022-12-15;2022-12-15;TCP web-enabled invoice;2022-12-15;Health;Bedfordshire Awesome;Future-proofed;27426;Grocery digital;Account hacking;architect;Utah PNG;bandwidth hacking Norwegian;67771;26200;24748;47735;Cotton;back-end;deposit;actuating Garden;repurpose Agent Fork;Fresh;dot-com Awesome;quantifying monetize e-enable;policy Savings;Soap;strategic Re-engineered Industrial;data-warehouse;Buckinghamshire Market extranet;capacity recontextualize;Kids ability Chips;Borders;portal Liaison;Fresh monitor;service-desk Crest;2022-12-15;hacking
8;Frozen;47854;supply-chains PCI;2022-12-15;2022-12-15;Wisconsin;2022-12-15;Soft Manager El;Liaison Peso;infrastructures Automotive Gloves;72191;Dynamic Guyana;Unbranded Cheese;Human;Buckinghamshire;calculating Avon;32091;89282;47501;9315;Concrete turn-key copy;Cotton copy Gorgeous;e-enable Shoes;Division Small;Kids haptic orange;parse Fish relationships;cultivate haptic Assistant;generate Frozen;analyzer;Money;sensor;hard granular;Handmade;back-end;Liaison;Plastic;UIC-Franc;e-commerce;Avon Indonesia Avon;2022-12-15;synthesize Health turquoise
9;Open-source Dollar Computer;43049;online;2022-12-15;2022-12-15;International Customizable;2022-12-15;Shoes Account;Home Concrete;Wooden;77488;Dynamic Fish;Baby;redundant;Manager Intelligent;Utah Metrics parsing;91092;82498;18090;86804;Intelligent Architect;Bacon Kenya silver;Operative static;Hat Loan;port Rubber;Kansas Minnesota;blue;up throughput Music;connect Account;Practical;Dollar networks parsing;Trung Chair B2B;Jersey;Clothing Infrastructure;area magenta;Kansas;flexibility methodologies compress;Roads;deposit solid;2022-12-15;cross-platform Refined
10;extensible Multi-lateral;39707;holistic transmitter Seamless;2022-12-15;2022-12-15;Track Usability Gorgeous;2022-12-15;clicks-and-mortar Gorgeous;integrate Customer virtual;ADP Shirt;17018;Borders Accountability Principal;overriding Cambridgeshire;calculate silver Inlet;Clothing fuchsia intermediate;content fault-tolerant HDD;40979;11108;74022;39636;service-desk parsing port;Unbranded red aggregate;Functionality multi-tasking impactful;Graphical Bacon;interface client-driven Soap;up Cheese;program Wooden JSON;strategize Antigua;bluetooth generate;Electronics Uruguay;Account tan Technician;Pataca Cotton California;Hat;back-end optimize Ergonomic;Frozen Berkshire;payment Investor Shirt;International Metical back-end;out-of-the-box;bypass;2022-12-15;index
